snopes,fake,s_pd,s_ftw,f_pd,f_ftw,f_n,id
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/,2016-06-20 17:39:25,2016-06-20 17:44:37,2016-06-20 11:06:24,2016-06-20 11:09:24,2517,1
http://www.snopes.com/colin-kaepernick-converts-to-islam/,http://www.infowars.com/colin-kaepernick-converted-to-islam-before-his-anti-american-stance-coincidence/,2016-08-29 18:29:41,2016-08-29 18:34:36,2016-08-29 10:07:20,2016-08-29 10:11:17,218,2
http://www.snopes.com/justin-trudeau-kiss-thomas-mulcair/,http://worldnewsdailyreport.com/canadian-prime-minister-and-opposition-leader-share-kiss-to-denounce-orlando-massacre/,2016-06-15 21:07:01,2016-06-15 21:10:43,2016-06-14 18:42:54,2016-06-15 04:27:54,189,3
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,http://www.realfarmacy.com/chemotherapy-not-cancer/,2016-09-04 17:15:10,2016-06-29 16:42:33,2016-06-10 04:08:52,2016-06-10 22:32:26,12,4
http://www.snopes.com/clinton-compliant-citizenry/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,2016-10-11 19:52:54,2016-10-11 20:05:38,2016-10-11 10:48:17,2016-10-10 22:04:23,6663,5
http://www.snopes.com/anti-trump-protesters-block-ambulance/,http://www.infowars.com/report-anti-trump-protesters-block-ambulance-father-of-4-year-old-girl-dies/,2016-11-15 16:16:48,2016-11-15 16:23:32,2016-11-15 13:24:12,2016-11-15 13:26:34,6191,6
http://www.snopes.com/jill-stein-endorsed-donald-trump/,http://www.infowars.com/green-party-candidate-jill-stein-says-hillary-clinton-could-be-worse-than-donald-trump/,2016-10-13 15:47:47,2016-10-13 16:02:57,2016-06-13 20:31:51,2016-06-13 20:55:28,17,7
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,2016-11-28 17:06:10,2016-11-28 17:18:04,2016-11-25 15:07:24,2016-11-25 17:03:55,226,9
http://www.snopes.com/eric-braverman-seeks-asylum-in-russia/,http://beforeitsnews.com/press-releases/2016/10/clinton-foundation-ceo-eric-braverman-seeks-asylum-at-russian-consulate-3015296.html,2016-10-25 21:44:56,2016-10-25 21:49:44,2016-10-25 04:21:00,2016-10-25 11:21:32,44,10
http://www.snopes.com/obama-executive-order-military-citizens/,http://beforeitsnews.com/war-and-conflict/2016/07/ultimate-destabilization-united-nations-agenda-activated-race-wars-civil-wars-riots-planned-u-s-mass-casualties-2462018.html,2016-07-14 14:39:11,2016-07-14 14:44:26,2016-07-11 14:07:00,2016-07-11 21:51:38,113,11
http://www.snopes.com/government-to-microchip-citizens/,http://www.activistpost.com/2016/12/house-passes-bill-allowing-government-microchip-citizens-mental-disabilities.html,2016-12-17 23:44:34,2016-12-17 23:48:09,2016-12-13 09:44:09,2016-12-13 16:01:06,616,12
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/bombshell-hillary-clintons-satanic-network-exposed/,2016-11-04 21:46:54,2016-11-04 21:50:02,2016-11-04 19:25:00,2016-05-16 07:55:19,996,13
http://www.snopes.com/fines-for-bringing-supplies-to-standing-rock-dapl-protests/,http://www.activistpost.com/2016/11/sheriffs-dept-fine-people-1k-bringing-food-supplies-standing-rock.html,2016-11-30 20:35:11,2016-11-30 20:38:11,2016-11-30 06:27:59,2016-11-30 00:19:05,45,14
http://www.snopes.com/snowden-pronounced-dead/,http://worldtruth.tv/snowden-prounounced-dead-by-his-girlfriend-in-russia/,2016-08-10 17:05:29,2016-08-10 17:08:02,2016-08-09 08:38:38,2016-08-09 12:40:21,46,15
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://21stcenturywire.com/2016/09/23/exclusive-the-real-syria-civil-defence-expose-natos-white-helmets-as-terrorist-linked-imposters/,2016-12-16 17:56:49,2016-12-16 18:02:50,2016-09-23 05:33:24,2016-09-23 06:29:00,1587,16
http://www.snopes.com/hillary-clinton-seizure-video/,http://www.infowars.com/video-bizarre-hillary-behavior-caught-on-camera/,2016-07-23 22:09:07,2016-07-23 22:10:36,2016-07-23 11:06:59,2016-07-23 10:18:05,213,17
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,https://www.intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,2016-07-08 22:39:28,2016-07-08 22:44:45,2016-06-14 10:35:03,2016-06-14 15:16:33,1574,18
http://www.snopes.com/target-holy-bible-ban/,http://nationalreport.net/target-discontinue-sale-holy-bible/,2016-05-18 16:37:33,2016-05-18 16:48:12,2016-05-18 01:16:59,2016-05-18 01:17:19,107,19
http://www.snopes.com/orlando-shooters-father-clinton/,http://21stcenturywire.com/2016/06/15/father-of-orlando-shooter-is-long-time-cia-asset/,2016-06-15 16:50:16,2016-06-15 17:30:22,2016-06-15 14:34:37,2016-06-15 16:07:02,18,20
http://www.snopes.com/george-soros-ss-nazi-germany/,http://www.nowtheendbegins.com/proof-george-soros-nazi-past-finally-comes-light-discovery-forgotten-interview/,2016-11-28 23:52:06,2016-11-29 00:01:39,2016-11-15 22:10:02,2016-11-15 22:12:43,412,21
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/emergency-hillary-globalists-shutting-down-opposition-media/,2016-09-28 17:51:02,2016-09-28 17:57:09,2016-09-28 12:27:58,2016-09-28 10:54:51,210,22
http://www.snopes.com/tim-kaine-white-people-minority/,http://www.infowars.com/hillarys-vp-whites-must-become-a-minority-to-atone-for-racism/,2016-08-17 19:46:10,2016-08-17 19:54:10,2016-08-16 11:03:11,2016-08-16 11:04:07,4082,23
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-leaks-hillarys-health-to-press/,2016-09-11 00:10:54,2016-09-11 00:17:39,2016-08-15 10:21:33,2016-08-14 23:26:10,5583,24
http://www.snopes.com/pokemon-in-pokemon-go-will-scream-if-within-a-mile-of-a-sex-offender/,http://www.clickhole.com/article/gaming-safety-ftw-pokemon-pokemon-go-will-now-scre-4691,2016-08-03 17:26:21,2016-08-03 17:29:20,2016-07-28 14:25:00,2016-07-28 14:30:37,115,25
http://www.snopes.com/rupaul-claims-trump-touched-him/,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,2016-10-18 04:15:18,2016-10-18 04:26:51,2016-10-14 13:15:30,2016-10-15 03:04:39,327,26
http://www.snopes.com/buzz-aldrin-tweeted-we-are-all-in-danger-it-is-evil-itself/,http://beforeitsnews.com/conspiracy-theories/2016/12/a-mysterious-tweet-by-astronaut-buzz-aldrin-2478714.html,2016-12-13 19:12:11,2016-12-13 19:13:08,2016-12-06 13:30:00,2016-12-06 21:44:50,51,27
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-whistleblower-hillary-has-major-neurological-problems/,2016-09-11 00:10:54,2016-09-11 00:17:39,2016-08-15 11:16:33,2016-08-15 11:17:21,5136,28
http://www.snopes.com/cnn-same-refugee-girl/,http://21stcenturywire.com/2016/10/18/crisis-extras-are-syrias-white-helmets-recycling-their-barrel-bomb-victims/,2016-12-27 06:50:05,2016-12-27 06:59:07,2016-10-18 10:33:10,2016-10-18 11:01:05,321,29
http://www.snopes.com/black-homeless-woman-says-trump-allowed-live-trump-tower-rent-free/,http://www.infowars.com/black-homeless-woman-says-trump-allowed-her-to-live-in-trump-tower-rent-free-for-8-years/,2016-12-09 23:19:46,2016-12-09 23:22:12,2016-12-08 17:26:44,2016-12-08 17:27:58,1727,30
http://www.snopes.com/president-obama-takes-a-knee-during-national-anthem/,http://nationalreport.net/obama-takes-a-knee-during-national-anthem/,2016-09-24 17:18:27,2016-09-24 17:23:34,2016-09-19 15:52:40,2016-09-19 15:52:58,25,31
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldtruth.tv/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,2016-11-17 03:37:11,2016-11-17 03:48:35,2016-11-16 08:56:45,2016-11-16 12:58:14,5,32
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,2016-08-15 20:20:38,2016-08-15 20:23:23,2016-08-14 11:45:48,2016-08-14 11:04:05,8442,33
http://www.snopes.com/sweden-bans-christmas-lights/,http://www.infowars.com/sweden-bans-christmas-street-lights-to-avoid-offending-muslim-migrants/,2016-10-27 21:30:13,2016-10-27 21:31:44,2016-10-25 17:39:00,2016-10-25 17:40:07,2979,34
http://www.snopes.com/clinton-newsweek-cover/,http://www.infowars.com/did-newsweek-already-print-a-special-madam-president-hillary-edition/,2016-11-07 20:23:38,2016-11-07 20:29:18,2016-11-07 16:30:42,2016-11-07 16:31:20,2236,35
http://www.snopes.com/defcon-warning-level-escalated-to-3/,http://beforeitsnews.com/opinion-liberal/2016/06/trouble-u-s-sets-defcon-3-2531061.html,2016-10-16 17:02:30,2016-06-20 21:07:53,2016-06-20 08:53:00,2016-06-20 20:10:33,2,36
http://www.snopes.com/ace-hardware-stands-against-standing-rock/,http://www.activistpost.com/2016/11/sheriffs-dept-demands-ace-hardware-stop-selling-heating-supplies-water-protectors-ace-complies.html,2016-12-01 18:29:24,2016-12-01 18:40:17,2016-11-30 18:45:57,2016-12-01 02:55:36,14,37
http://www.snopes.com/obama-encouraged-illegal-aliens-to-vote/,http://www.infowars.com/video-president-obama-encourages-illegal-immigrants-to-vote/,2016-11-06 18:27:00,2016-11-06 18:33:13,2016-11-06 15:45:44,2016-11-06 15:48:35,821,38
http://www.snopes.com/experimental-nazi-missile-aimed-at-u-s/,http://worldnewsdailyreport.com/rocket-launched-in-space-by-nazis-in-1944-expected-to-hit-the-usa-next-week/,2016-12-30 21:53:24,2016-12-30 22:00:51,2016-12-23 20:15:24,2016-12-29 09:26:53,1,39
http://www.snopes.com/seth-conrad-rich/,http://www.activistpost.com/2016/07/suspicious-dnc-staffer-in-charge-of-voter-expansion-data-murdered-in-d-c.html,2016-07-14 22:29:25,2016-07-14 22:42:54,2016-07-12 10:15:02,2016-07-12 16:32:13,37,40
http://www.snopes.com/did-donald-trump-appoint-sarah-palin-as-a-science-advisor/,http://worldnewsdailyreport.com/sarah-palin-appointed-as-science-and-technology-adviser-promises-to-get-rid-of-climate-change-hysteria/,2017-01-02 16:29:44,2017-01-02 16:35:07,2016-12-05 18:57:33,2016-12-08 22:38:28,37,41
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,2016-09-08 19:04:25,2016-09-08 19:09:36,2016-09-08 10:58:32,2016-09-08 11:00:13,12302,42
http://www.snopes.com/elector-suicide/,http://worldnewsdailyreport.com/electoral-college-elector-commits-suicide-to-avoid-voting-for-donald-trump/,2016-12-30 19:24:14,2016-12-30 19:36:05,2016-12-19 19:50:22,2016-12-19 20:11:41,2,43
http://www.snopes.com/did-macys-pull-support-from-planned-parenthood/,http://www.infowars.com/macys-no-longer-supports-planned-parenthood/,2016-12-12 19:25:33,2016-12-12 19:30:13,2016-12-09 17:41:55,2016-12-09 17:49:31,358,44
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/dr-drew-gravely-concerned-about-hillary-clintons-health/,2016-09-11 00:10:54,2016-09-11 00:17:39,2016-08-17 17:57:16,2016-08-17 15:37:59,5149,45
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/savage-nation-sounds-the-alarm-on-censorship/,2016-09-28 17:51:02,2016-09-28 17:57:09,2016-09-28 16:15:22,2016-09-28 16:16:19,10,46
http://www.snopes.com/target-american-flag-removal/,http://nationalreport.net/target-discontinue-sales-american-flag/,2016-05-19 20:36:40,2016-05-19 20:39:52,2016-05-19 16:47:18,2016-05-19 16:47:34,22,47
http://www.snopes.com/police-shoot-coal-miner/,http://worldnewsdailyreport.com/kentucky-police-shoot-white-coal-miner-5-times-thinking-he-was-black/,2016-10-13 15:02:22,2016-10-13 15:12:09,2016-09-29 16:42:55,2016-10-11 22:32:22,3,48
http://www.snopes.com/clinton-secret-earpiece-debate/,http://www.infowars.com/photos-whats-that-under-hillarys-pantsuit-during-last-nights-debate/,2016-09-27 22:32:18,2016-09-27 22:37:20,2016-09-27 15:16:59,2016-09-27 15:18:44,2930,49
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.nowtheendbegins.com/idaho-town-covers-up-rape-of-little-girl-at-knifepoint-by-three-syrian-muslim-refugees/,2016-06-20 17:39:25,2016-06-20 17:44:37,2016-06-20 14:11:39,2016-06-20 14:11:47,39,50
http://www.snopes.com/woman-develops-iq-of-220-after-drinking-sperm-every-day-for-a-year/,http://worldnewsdailyreport.com/woman-develops-iq-of-220-after-drinking-sperm-everyday-for-a-year/,2016-11-21 21:23:22,2016-11-21 21:25:34,2016-11-17 18:16:15,2016-11-18 05:55:35,12,51
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,2016-11-17 03:37:11,2016-11-17 03:48:35,2016-11-14 18:19:21,2016-11-15 03:52:51,38,52
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,2016-11-04 21:46:54,2016-11-04 21:50:02,2016-11-04 13:57:25,2016-11-04 12:58:06,22576,53
http://www.snopes.com/pat-robertson-orlando-shooting/,http://www.newslo.com/pat-robertson-orlando-shooting-gods-punishment-scotus-sex-marriage-ruling/,2016-06-12 21:34:06,2016-06-12 21:39:26,2016-06-12 13:36:38,2016-06-12 18:09:50,4,54
http://www.snopes.com/three-million-votes-in-presidential-election-cast-by-illegal-aliens/,http://www.infowars.com/report-three-million-votes-in-presidential-election-cast-by-illegal-aliens/,2016-11-17 00:34:23,2016-11-17 00:41:10,2016-11-14 13:22:55,2016-11-14 13:24:27,14894,55
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,2016-10-26 23:23:54,2016-10-26 23:39:01,2016-07-14 15:29:15,2016-07-14 15:29:34,7,56
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,2016-08-09 17:52:29,2016-08-09 17:58:23,2016-08-09 11:31:16,2016-08-09 11:32:43,1566,57
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,2016-08-16 19:13:14,2016-08-16 19:17:19,2016-08-15 09:26:17,2016-08-15 13:27:45,126,58
http://www.snopes.com/mike-pence-condom-ban/,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,2016-08-29 20:25:58,2016-08-29 20:30:31,2016-08-16 21:50:29,2016-08-22 13:36:31,18,59
http://www.snopes.com/samsung-smartphones-truck-explodes/,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,2016-09-14 21:33:55,2016-09-14 21:45:23,2016-09-01 16:53:13,2016-09-10 19:38:29,15,60
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,2016-06-10 23:29:20,2016-06-11 00:20:22,2016-06-10 17:49:11,2016-06-10 17:50:49,269,61
http://www.snopes.com/2016/11/14/melania-sign-at-anti-trump-protest/,http://www.dcclothesline.com/2016/11/14/wheres-the-feminist-outrage-as-rapemelania-trends-on-twitter/,2016-11-14 16:51:59,2016-11-14 16:58:35,2016-11-14 10:45:43,2016-11-14 10:46:42,56,62
http://www.snopes.com/black-mob-beats-white-man-for-voting-trump/,http://www.infowars.com/shock-video-black-mob-viciously-beats-white-trump-voter/,2016-11-10 20:32:12,2016-11-10 20:43:01,2016-11-10 12:16:45,2016-11-10 12:09:57,12076,63
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,2016-07-08 22:39:28,2016-07-08 22:44:45,2016-07-06 11:08:41,2016-07-06 09:09:26,1047,64
http://www.snopes.com/daughter-fertilizes-eggs-with-fathers-sperm/,http://worldnewsdailyreport.com/denmark-daughter-fertilizes-own-eggs-with-sperm-of-deceased-father/,2016-10-17 06:57:59,2016-10-17 07:09:07,2016-10-08 12:09:42,2016-10-16 20:07:36,1,65
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,2016-10-21 18:00:49,2016-10-21 18:01:23,2016-10-11 14:32:14,2016-10-11 17:24:16,1439,66
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,2016-11-16 06:12:14,2016-11-16 06:16:08,2016-11-15 12:04:13,2016-09-12 21:56:42,6851,67
http://www.snopes.com/flags-banned-at-dnc/,http://www.nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,2016-07-26 15:25:34,2016-07-26 15:33:51,2016-07-26 12:38:02,2016-07-26 12:46:45,23,68
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/,2016-07-18 18:01:33,2016-07-18 18:02:02,2016-07-17 17:34:01,2016-07-17 16:36:40,5977,69
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/,2016-09-11 00:10:54,2016-09-11 00:17:39,2016-08-22 14:02:50,2016-08-22 13:43:23,4062,70
http://www.snopes.com/debate-secret-hand-signals/,http://www.infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/,2016-09-28 22:12:38,2016-09-28 22:31:24,2016-09-28 19:31:29,2016-09-28 19:34:51,349,71
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,2016-08-17 18:58:04,2016-08-17 19:00:29,2016-08-12 12:46:19,2016-08-12 16:46:45,9,72
http://www.snopes.com/alicia-machado-adult-star/,http://www.infowars.com/hillarys-new-anti-trump-poster-child-is-a-porn-star-accused-of-driving-a-murder-getaway-vehicle-threatening-to-kill-a-judge/,2016-09-28 18:32:41,2016-09-28 18:42:07,2016-09-28 12:28:22,2016-09-28 12:31:12,2126,73
http://www.snopes.com/hunter-nearly-killed-by-brutal-sexual-assault-from-moose/,http://worldnewsdailyreport.com/hunter-nearly-killed-by-brutal-sexual-assault-from-1200-lbs-moose/,2016-11-16 18:26:28,2016-11-16 18:28:17,2016-11-07 14:54:19,2016-11-16 02:58:57,13,74
